CustomerID,Revenue
14911.0,115011.85
14646.0,85888.3
13089.0,48777.67
14156.0,48300.99
14096.0,47494.08
18102.0,41866.89
17511.0,40291.31
14088.0,38934.49
14298.0,38181.67
17841.0,37945.59
12415.0,36363.56
15311.0,32968.26
12748.0,26578.67
17450.0,26185.78
13081.0,24124.94
15061.0,22934.43
13694.0,20742.35
13098.0,19270.079999999998
17675.0,19122.05
13408.0,18563.71
15039.0,18219.83
15159.0,17452.77
12921.0,15789.32
17389.0,15575.58
13798.0,15018.77
16684.0,14702.48
16422.0,14287.32
12471.0,14181.59
14051.0,13930.9
16029.0,13682.22
15856.0,12862.22
17735.0,12857.28
15498.0,12653.75
12731.0,12594.67
12681.0,12281.61
15513.0,12246.95
13767.0,12206.72
14680.0,12171.55
12477.0,11432.99
17340.0,11324.53
12540.0,11230.07
16705.0,11097.83
12753.0,11092.15
15640.0,11065.8
15189.0,11062.23
17428.0,11047.25
14606.0,10951.17
14031.0,10950.04
14194.0,10860.51
12621.0,10791.6
12433.0,10730.61
12682.0,10447.25
14895.0,10374.19
13319.0,10364.550000000001
16839.0,10246.21
13078.0,10060.2
17581.0,10039.7
14769.0,9905.22
16133.0,9856.16
15615.0,9819.88
17139.0,9766.14
15078.0,9662.31
17706.0,9620.44
16779.0,9132.26
16013.0,9112.16
16525.0,9069.61
13458.0,9069.29
17865.0,8904.44
13777.0,8879.45
16523.0,8874.63
17107.0,8853.0
16843.0,8803.43
14367.0,8766.91
13113.0,8676.779999999999
16033.0,8588.47
12567.0,8573.62
12709.0,8366.28
13488.0,8329.01
15838.0,8307.24
12971.0,8297.08
14667.0,8287.0
14056.0,8099.2699999999995
14733.0,8094.5
15358.0,8068.29
13969.0,7931.42
12451.0,7808.79
13881.0,7773.9800000000005
14936.0,7772.88
17243.0,7759.45
14796.0,7737.6
14527.0,7700.48
16558.0,7637.25
17677.0,7598.84
14849.0,7549.06
15044.0,7365.5
12744.0,7287.75
14258.0,7249.46
12683.0,7238.43
13263.0,7226.78
13018.0,7079.93
17404.0,7069.42
13985.0,7010.13
16729.0,7007.82
17017.0,7004.92
13001.0,6967.53
13090.0,6917.8099999999995
13340.0,6883.96
15769.0,6877.36
17811.0,6858.2699999999995
12474.0,6816.16
13854.0,6656.74
15249.0,6639.16
16672.0,6573.58
14961.0,6547.28
12766.0,6487.28
15601.0,6484.01
15144.0,6477.56
18055.0,6464.74
16923.0,6460.63
15194.0,6447.25
15290.0,6443.32
12409.0,6432.65
12705.0,6409.84
16187.0,6383.14
12428.0,6377.67
18109.0,6376.67
17338.0,6372.8
16873.0,6346.34
12583.0,6340.86
14952.0,6293.91
13871.0,6283.53
15482.0,6276.24
16713.0,6226.92
16746.0,6195.73
15023.0,6184.24
15005.0,6178.95
18223.0,6149.9800000000005
16814.0,6138.15
17509.0,6083.64
18229.0,6076.6
13102.0,6017.68
12472.0,6008.99
12626.0,6001.87
17416.0,5905.4800000000005
16126.0,5896.31
18172.0,5880.74
18092.0,5878.0
13534.0,5856.13
15125.0,5844.92
12678.0,5843.24
13199.0,5826.59
14735.0,5793.54
12637.0,5783.05
15382.0,5775.57
13709.0,5744.7
15251.0,5741.79
14415.0,5733.93
12476.0,5728.34
